"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"126","Laurus Labs Limited","LAURUSLABS","P&F | F.A","0.39%","827.05","20,80,040"
"140","CG Power and Industrial Solutions Ltd","CGPOWER","P&F | F.A","0.39%","677.45","15,36,621"
"33","Avenue Supermarts","DMART","P&F | F.A","0.38%","4026.7","15,41,742"
"118","Titagarh Rail Systems Ltd","TITAGARH","P&F | F.A","0.35%","942.15","6,97,439"
"170","Tata Power Company Limited","TATAPOWER","P&F | F.A","0.34%","403.9","42,86,434"
"60","Glenmark Pharmaceuticals Limited","GLENMARK","P&F | F.A","0.31%","2226.1","16,66,264"
"38","Titan Company Limited","TITAN","P&F | F.A","0.3%","3415","6,86,088"
"95","Info Edge (india) Limited","NAUKRI","P&F | F.A","0.3%","1403.2","15,54,292"
"154","Iifl Holdings Limited","IIFL","P&F | F.A","0.28%","525","10,64,910"
"162","Hindustan Zinc Limited","HINDZINC","P&F | F.A","0.25%","437.45","23,84,363"
"218","GMR Airports Ltd","GMRAIRPORT","P&F | F.A","0.24%","91.88","1,19,59,963"
"28","Hindustan Aeronautics Ltd","HAL","P&F | F.A","0.22%","4896.8","7,53,068"
"175","Rail Vikas Nigam Ltd","RVNL","P&F | F.A","0.22%","383.15","92,28,521"
"8","Maruti Suzuki India Limited","MARUTI","P&F | F.A","0.18%","12536","1,47,377"
"16","Divi's Laboratories Limited","DIVISLAB","P&F | F.A","0.17%","6790","1,32,235"
"145","Adani Total Gas Ltd","ATGL","P&F | F.A","0.16%","647.75","4,67,659"
"82","Tech Mahindra Limited","TECHM","P&F | F.A","0.15%","1579","25,74,760"
"153","Dabur India Limited","DABUR","P&F | F.A","0.15%","527","12,43,559"
"20","Britannia Industries Limited","BRITANNIA","P&F | F.A","0.13%","5785.5","1,64,143"
"90","Reliance Industries Limited","RELIANCE","P&F | F.A","0.11%","1485.4","81,32,454"
"66","Acc Limited","ACC","P&F | F.A","0.1%","1979.9","1,52,230"
"43","Mazagon Dock Shipbuilders Ltd","MAZDOCK","P&F | F.A","0.06%","3115.4","10,24,768"
"188","Bharat Heavy Electricals Limited","BHEL","P&F | F.A","0.06%","257.5","27,85,020"
"161","Oil India Limited","OIL","P&F | F.A","0%","445.85","16,91,303"
"48","Grasim Industries Limited","GRASIM","P&F | F.A","-0.01%","2784","4,50,965"
"165","Power Finance Corporation Limited","PFC","P&F | F.A","-0.02%","425.1","39,74,226"
"83","Max Financial Services Limited","MFSL","P&F | F.A","-0.03%","1578","7,50,051"
"178","Ntpc Limited","NTPC","P&F | F.A","-0.03%","342","84,50,777"
"36","Larsen & Toubro Limited","LT","P&F | F.A","-0.05%","3494","15,85,193"
"181","Power Grid Corporation Of India Limited","POWERGRID","P&F | F.A","-0.05%","298.05","61,73,407"
"186","Rbl Bank Limited","RBLBANK","P&F | F.A","-0.05%","263.26","60,61,176"
"4","Shree Cements Limited","SHREECEM","P&F | F.A","-0.06%","31080","13,064"
"200","L&T Finance Ltd","LTF","P&F | F.A","-0.06%","205.45","56,28,351"
"116","Zydus Lifesciences Ltd","ZYDUSLIFE","P&F | F.A","-0.08%","967.65","5,53,271"
"91","Mahanagar Gas Limited","MGL","P&F | F.A","-0.09%","1474.6","1,41,322"
"124","Adani Energy Solutions Ltd","ADANIENSOL","P&F | F.A","-0.09%","879.75","7,67,520"
