date,total_stocks,above_sma20,sma20_percent,above_sma50,sma50_percent,market_regime,market_score
2025-07-03,176,108,61.36,127,72.16,Uptrend,0.657
2025-07-04,176,106,60.23,131,74.43,Uptrend,0.659
2025-07-07,176,95,53.98,129,73.3,Choppy/Sideways,0.617
2025-07-08,176,98,55.68,127,72.16,Choppy/Sideways,0.623
2025-07-09,176,105,59.66,132,75.0,Choppy/Sideways,0.658
2025-07-10,176,115,65.34,134,76.14,Uptrend,0.697
2025-07-11,176,100,56.82,123,69.89,Choppy/Sideways,0.62
2025-07-14,176,104,59.09,115,65.34,Choppy/Sideways,0.616
2025-07-15,176,116,65.91,126,71.59,Uptrend,0.682
2025-07-16,176,118,67.05,137,77.84,Uptrend,0.714
2025-07-17,176,111,63.07,132,75.0,Uptrend,0.678
2025-07-18,176,98,55.68,122,69.32,Choppy/Sideways,0.611
2025-07-21,176,91,51.7,115,65.34,Choppy/Sideways,0.572
2025-07-22,176,72,40.91,105,59.66,Choppy/Sideways,0.484
2025-07-23,176,75,42.61,103,58.52,Choppy/Sideways,0.49
2025-07-24,176,72,40.91,94,53.41,Choppy/Sideways,0.459
2025-07-25,176,38,21.59,67,38.07,Downtrend,0.282
